nombre_show,artista
Pedro Ángel Roca.- Arde Murcia,Pedro Ángel Roca
Monólogos de humor - Chocita del Loro Gran vía,varios
"No es fácil ser fácil, de Silvia De Frente",Silvia De Frente
Un mancheguico por Madrid. Marce González,Merce Gonzalez
Ilusión. Javier Del Mar,Javier Del Mar
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,Carlos Suárez Iria Parada
Coria Castillo con Nací princesa porque zorras sobraban,Coria Castillo
Luis Álvaro - El espectáculo,Luis Álvaro
Impro-Monologos,Enrique el Grande
Mangos y Papayas - Gran Vía,Iván Perlaza
Mangos y Papayas - Gran Vía, Javi Bueno
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,Fer Bleda
Carles Cuevas y Fer Bleda. Maric*n y Tontic*., Carles Cuevas
Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,rotativo
Poco se habla de Sexo - Madrid,Jorge Santos
Poco se habla de Sexo - Madrid, Adrián Serna
"No soy yo, eres tú David Carrascosa",David Carrascosa
Open Open Mic. El micro abierto más abierto.,rotativo
Diego Arjona - Me veo en Wallapop,Diego Arjona
Vermut Rojo Open Mic,rotativo
Albert Boira.- Que nos pille viviendo,Albert Boira
Fango - Rober Bodegas,Rober Bodegas
"Borderline, Nico Lozano",Nico Lozano
Mangos y Papayas: Javi Bueno & Iván Perlaza,Javi Bueno
Mangos y Papayas: Javi Bueno & Iván Perlaza, Iván Perlará
"Malasañero para principantes, de Manu Kas",Manu Kas
Super Duper. Mario Velasco,Mario Velasco
Open Magic,rotativo
Sparks- El show de humor negro - Silvia Sparks,Silvia Sparks
Paula Púa.- Traca. Un monólogo de una hija única.,Paula Púa
No Disparen al Cómico - Manu Chacón,Manu Chacón
"Femininity, un show de Patri Muñoz",Patri Muñoz
Diego Daño. Viviendo para Instagram,Diego Daño
Juan Moreno presenta ¡Embustero!,Juan Moreno
Kalderas - Stand Up Comedy,Kalderas
Alberto Sierra. De profesión: gafas.,Alberto Sierra
Ruta 66 Open Mic,rotativo
Sinacio presenta Toca Reír,Sinacio
Vero Berenguer y Sandra U.- Enfermizas,Sandra U
Vero Berenguer y Sandra U.- Enfermizas, Vero Berenguer
La Factoría de la Comedia - Openmic,rotativo
"Comedia Sin Miedo Open Mic , monologo de standup comedy",rotativo
Lgtb Comedy Jam,Albert Boira
Lgtb Comedy Jam, Archie Bezos
Lgtb Comedy Jam, Libertad Montero
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,Bianca Kovacs
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST, Carmen Romero
Malhablado - Un show de Raúl Fervé,Raúl Fervé
"Nacho García: Estoy mayor, en Madrid",Nacho García
"Open Mic, La Trinchera",rotativo
Los 30 son los nuevos ...  ¡Vete a la mierda! - Jorge Santos,Jorge Santos
Los 30 son los nuevos ... ¡Vete a la mierda! - Jorge Santos,Jorge Santos
Silvia Sparks. El show de humor negro,Silvia Sparks
Par de notas - Álvaro Seko y Fernando 'El Pelao',Alvaro Seko
Par de notas - Álvaro Seko y Fernando 'El Pelao', Fernando 'El Pelao'
Eva Cabezas. A las calles,Eva Cabezas
Los Monólogos de Clandestino Café-Teatro Gran vía,varios
La Maricomedia - Un Show Drag Heterofriendly,Dramma D'Onore
"Barbie Boy, un monólogo de comedia tartamuda",El Gago
Vagos y maleantes,edu battaner
Vagos y maleantes, serna
El micro abierto de la Estupenda,rotativo
De Madrid Al Suelo,Juan de Dios
De Madrid Al Suelo, Oscar Nos
No te atasques con tu vida - Joan Natzari,Joan Natzari
Momentos de ternura. Con Edu Halmoguera y Pablo Medina,Pablo Medina
Los perros no hablan,Paco Páez
Los perros no hablan, Charlie Under
¡Tampoco es para tanto! - Javi Bravo,Javi Bravo
No + Reglas,Carlos Moreno
No + Reglas, Daniel Celester
¡Hostia Patxi! un monólogo en Madrid,Patxi Zubeldia
Comedia sin Límites - Monólogos y mucho más,Juan Solo
Comedia sin Límites - Monólogos y mucho más, Richard Salamanca
Archie Bezos.- graciOSO,Archie Bezos
Estación Comedy,varios
Dos Gordos muy Grasiosos,Javi Delpe
Dos Gordos muy Grasiosos, Aitor Vega
Tinder Sorpresa,Andreu Casanova
Juanma Molina y Ruinas Planchuelo - Del Sur,Ruinas Planchuelo
Juanma Molina y Ruinas Planchuelo - Del Sur, Juanma Molina
Luismi - Colocado cabe 4.0,Luismi
Si te ríes: ¡Gano! - Concurso de monólogos (En Galileo Galilei),rotativo
Fernando García - Lo que yo sé de las mujeres,Fernando García-Torres
Kabraloker - Mas Loco Que Una Cabra,Gustavo Biosca
Soy Tóxica,Victoria Santos
Soy Tóxica, Yolanda Mora
Soy Tóxica," Noa Sánchez ""La muñeka"""
"Dos Gordos muy Grasiosos, en Estupenda Bar",Javi Delpe
"Dos Gordos muy Grasiosos, en Estupenda Bar", Aitor Vega
"MILF (Mujer inteligente, libre y feliz)",Belén Caccia
"MILF (Mujer inteligente, libre y feliz)", Victoria Santos
"MILF (Mujer inteligente, libre y feliz)", Laura del Val
"MILF (Mujer inteligente, libre y feliz)", Vero Jofre
"MILF (Mujer inteligente, libre y feliz)", Sandra U
"MILF (Mujer inteligente, libre y feliz)", Paula Pirela
"MILF (Mujer inteligente, libre y feliz)", Tatiana Ruiz
"MILF (Mujer inteligente, libre y feliz)", Tatiana Cirese
"Daniel Fez. La vida Regulinchi, en Madrid",Daniel Fez
El Unipersonal de Luciano Mellera,Luciano Mellera
Momi Giardina - Cualquier cosa te llamamos,Momi Giardina
Racional - Pablo Molinari en Madrid,Pablo Molinari
Miki Dkai: Personal Trainer,Miki Dkai
Nacho García en El Golfo Comedy Club,Nacho García
Gente bien,carlos moreno
Gente bien, angel de los rios
Alex Clavero y Karim - Noche de Monólogos,Alex Clavero
Alex Clavero y Karim - Noche de Monólogos, Karim
Lo positivo de fracasar en el amor,Pablo Piñeiro
Transplantar,pep noguera
Mi gran noche griega. Dzimis Tsapas. The Greek Dzinious,Dzimis Tsapas
¡Por fin solo!,Carles Sans
El cómico faltoso. Carlos Moreno,Carlos Moreno
Curreles,Raúl Fervé
Curreles, Toni Moret
Curreles, Sofia Squittieri
Asco y Pena en directo- Un Podcast de Nacho García y Miguel Iríbar,Miguel Iribar
Fran Pati y Mikel Bermejo - MVPs,Fran Pati
Fran Pati y Mikel Bermejo - MVPs, Mikel Bermejo
Carmen Fresca - Un espectáculo de Carmen Alcayde,Carmen Alcayde
Bhonny Lorenzo presenta Bonifacetico,Bhonny Lorenzo
Isabel Rey.- Diva de Barrio,Isabel Rey
Taka Gómez - Plátano,Taka Gómez
Tabú,David La Cruz
Pilar de Francisco y Borja Sumozas. ¡Por fin juntos!,Borja Sumozas
Pilar de Francisco y Borja Sumozas. ¡Por fin juntos!, Pilar de Francisco
Patxi Zubeldia.-  Bestia Parda,Patxi Zubeldia
Alberto Graupera.- No le busques sentido,Alberto Graupera
El Ahorcado Open Mic,rotativo
Juan Moreno - Infame,Juan Moreno
Estoy bien. Esther Gimeno,Esther Gimeno
Borja Manjón. Poca cosa.,Borja Manjón
Nico Lozano. Borderline Golfo Edition.,Nico Lozano
No me puedo quejar,juanma duplay
Quique Matilla - Vastante vien,Quique Matilla
"Nayra Pérez presenta Por mí, ya estaría",Nayra Pérez
100% Risas y Humor - Mancheguito,Marce Gonzalez
Summertime,Elena Beltrán
Summertime, Miguel Campos
Summertime, Yunez Chaib
Summertime, Pablo Ibarburu
Summertime, Helena Pozuelo
Summertime, Iggy Rubín
Ganso: un show de Edu J,Edu J
Menuda Pájara - Carmen Alcayde,Carmen Alcayde
